EventTime,Time,NR,A
2018-11-01 22:33:00,5.0,0,0
2018-11-01 22:41:00,5.0,1,0
2018-11-01 23:49:00,4.0,0,0
2018-11-02 00:06:00,4.0,1,0
2018-11-02 13:04:00,4.0,0,0
2018-11-02 13:08:00,4.0,1,0
2018-11-02 20:42:00,4.0,0,0
2018-11-02 20:46:00,4.0,1,0
2018-11-03 03:50:00,4.0,0,0
2018-11-03 04:07:00,5.0,1,0
2018-11-05 12:10:00,5.0,0,0
2018-11-05 12:19:00,5.0,1,0
2018-11-05 23:47:00,4.0,0,0
2018-11-05 23:54:00,5.0,1,0
2018-11-06 23:47:00,5.0,0,0
2018-11-07 00:02:00,5.0,1,0
2018-11-08 12:59:00,4.0,0,0
2018-11-08 13:03:00,5.0,1,0
2018-11-08 23:48:00,5.0,0,0
2018-11-11 03:48:00,5.0,0,0
2018-11-11 04:07:00,5.0,1,0
2018-11-11 04:19:00,5.0,0,0
2018-11-11 04:25:00,5.0,1,0
2018-11-12 23:47:00,5.0,0,0
2018-11-12 23:58:00,5.0,1,0
2018-11-13 23:47:00,5.0,0,0
2018-11-14 00:29:00,4.0,1,0
2018-11-14 23:47:00,4.0,0,0
2018-11-15 00:29:00,5.0,1,0
2018-11-15 04:00:00,5.0,0,0
2018-11-15 04:03:00,5.0,1,0
2018-11-15 21:03:00,5.0,0,0
2018-11-15 21:09:00,4.0,1,0
2018-11-15 22:19:00,5.0,0,0
2018-11-15 22:21:00,4.0,1,0
2018-11-17 03:49:00,4.0,0,0
2018-11-17 04:07:00,4.0,1,0
2018-11-18 03:52:00,5.0,0,0
2018-11-18 04:07:00,4.0,1,0
2018-11-19 12:12:00,4.0,0,0
2018-11-19 12:18:00,4.0,1,0
2018-11-19 19:56:00,4.0,0,0
2018-11-19 19:58:00,4.0,1,0
2018-11-19 21:02:00,5.0,0,0
2018-11-19 21:06:00,5.0,1,0
2018-11-19 23:48:00,5.0,0,0
2018-11-19 23:54:00,4.0,1,0
2018-11-20 13:08:00,5.0,0,0
2018-11-20 13:16:00,4.0,1,0
2018-11-20 19:29:00,5.0,0,0
2018-11-20 19:31:00,4.0,1,0
2018-11-20 23:50:00,5.0,0,0
2018-11-21 00:03:00,5.0,1,0
2018-11-21 12:59:00,5.0,0,0
2018-11-21 13:04:00,4.0,1,0
2018-11-21 23:48:00,4.0,0,0
2018-11-22 00:02:00,5.0,1,0
2018-11-22 07:43:00,5.0,0,0
2018-11-22 07:44:00,5.0,1,0
2018-11-23 00:11:00,4.0,0,0
2018-11-23 00:19:00,4.0,1,0
2018-11-23 16:37:00,4.0,0,0
2018-11-23 16:42:00,4.0,1,0
2018-11-24 13:01:00,4.0,0,0
2018-11-24 13:13:00,4.0,1,0
2018-11-24 13:13:00,5.0,0,0
2018-11-24 13:13:00,5.0,1,0
2018-11-25 03:50:00,4.0,0,0
2018-11-25 04:07:00,5.0,1,0
2018-11-26 23:47:00,4.0,0,0
2018-11-27 00:02:00,4.0,1,0
2018-11-27 23:48:00,5.0,0,0
2018-11-28 00:04:00,5.0,1,0
2018-11-28 21:55:00,4.0,0,0
2018-11-28 21:59:00,5.0,1,0
2018-11-29 00:22:00,4.0,0,0
2018-11-29 00:24:00,5.0,1,0
2018-11-29 23:47:00,4.0,0,0
2018-11-24 13:07:15,0.1,2,1
2018-11-24 13:07:18,0.1,2,1
2018-11-24 13:13:18,0.1,2,1
2018-11-24 13:13:22,0.1,2,1
