Operation time,Number of operations,Rail point,c2_,c3_,c4_,c5_,sd_,alarms,c3a_,c3ao_
2.8,124.0,Ashfield:ST520,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
2.79,130.0,Ashfield:ST521,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
3.0,207.0,Ashfield:ST522,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.78,543.0,Granville:AY683,cluster 0,cluster 1,cluster 2,cluster 4,2.0,0.0,cluster 0,cluster 0
7.84,70.0,Granville:CL660,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
6.12,72.0,Granville:CL661,cluster 0,cluster 0,cluster 0,cluster 0,2.0,10.0,cluster 0,cluster 0
5.7,61.0,Granville:CL667,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
6.82,153.0,Granville:GE700,cluster 0,cluster 0,cluster 0,cluster 0,2.0,13.0,cluster 0,cluster 0
6.77,170.0,Granville:GE701,cluster 0,cluster 0,cluster 0,cluster 0,2.0,5.0,cluster 0,cluster 0
9.47,178.0,Granville:GE702,cluster 0,cluster 0,cluster 0,cluster 0,2.0,9.0,cluster 0,cluster 0
5.88,472.0,Granville:GE705,cluster 0,cluster 0,cluster 2,cluster 4,2.0,17.0,cluster 0,cluster 0
5.85,151.0,Granville:GE706,cluster 0,cluster 0,cluster 0,cluster 0,2.0,9.0,cluster 0,cluster 0
6.64,2382.0,Granville:GE708,cluster 1,cluster 2,cluster 3,cluster 2,2.0,17.0,cluster 0,cluster 0
6.64,1923.0,Granville:GE709,cluster 1,cluster 2,cluster 3,cluster 3,2.0,9.0,cluster 0,cluster 0
6.4,2035.0,Granville:GE710,cluster 1,cluster 2,cluster 3,cluster 3,2.0,23.0,cluster 2,cluster 0
6.65,141.0,Granville:GE711,cluster 0,cluster 0,cluster 0,cluster 0,2.0,9.0,cluster 0,cluster 0
16.75,134.0,Granville:GE712,cluster 0,cluster 0,cluster 0,cluster 0,2.0,9.0,cluster 0,cluster 0
6.52,136.0,Granville:GE713,cluster 0,cluster 0,cluster 0,cluster 0,2.0,5.0,cluster 0,cluster 0
6.61,129.0,Granville:GE714,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
